using,5
onoff,1
turns,1
finely,1
chop,1
garbanzo,1
beans,3
garlic,6
processor,1
add,7
tablespoons,5
lemon,3
juice,3
remaining,4
ingredients,1
process,1
coarse,1
puree,1
season,1
taste,2
salt,6
pepper,3
more,1
desired,1
do,1
ahead,2
made,1
week,1
transfer,3
airtight,1
container,2
chillspread,1
hummus,1
each,5
bread,3
slice,2
top,3
slices,2
sliced,1
cucumber,1
mint,1
cilantro,3
dividing,1
equally,1
arrange,2
feta,2
atop,1
second,1
press,1
gently,4
compact,1
slightly,3
cut,3
sandwiches,1
halfavailable,1
some,1
supermarkets,1
natural,1
foods,1
stores,1
middle,1
eastern,1
markets,1
chilled,4
cocktail,3
shaker,1
pint,1
glass,8
pour,1
club,1
soda,1
sugar,3
cube,2
muddler,1
back,1
large,5
spoon,1
crush,1
swirl,1
dissolves,1
seconds,2
bitters,1
cognac,1
set,4
asidepour,1
absinthe,3
double,1
oldfashioned,1
stemless,1
wineglass,1
holding,1
horizontally,1
roll,2
between,1
your,1
thumb,1
forefinger,1
so,1
completely,2
coats,1
interior,1
discard,2
excessadd,1
ice,1
stir,7
strain,1
rinsed,1
channel,1
knife,1
thin,1
inch,1
strip,1
peel,2
directly,1
place,2
serve,2
heat,9
oil,5
heavy,2
pan,5
mediumlow,1
sweat,1
onions,5
soft,3
translucentin,1
separate,1
warm,4
spice,1
seeds,1
they,2
release,1
their,1
fragrance,1
begin,1
jump,1
tip,1
mortar,1
grind,1
pestle,1
still,1
warmadd,1
ground,1
spices,1
along,1
chiles,1
curry,4
leaves,2
lime,2
cook,6
another,2
minutes,9
fairly,1
low,1
jaggery,1
fish,1
sauce,1
minutesadd,1
tomatoes,1
fresh,1
cooked,2
dried,1
coconut,1
milk,1
tender,2
cooking,3
freshwhile,1
wash,1
wild,2
picking,1
leaf,1
thoroughly,1
carry,1
little,1
stonesa,1
couple,1
before,1
serving,2
wilted,1
dont,2
overcook,1
itwild,1
should,2
bright,1
vibrant,1
adjust,1
seasoning,1
necessary,1
this,1
fragrant,2
sweet,1
sharp,1
salty,1
enough,1
melt,2
chocolate,3
heatproof,2
bowl,10
saucepan,3
barely,2
simmering,2
water,4
stirring,3
occasionally,3
smooth,2
remove,4
dulce,1
de,1
leche,1
nut,1
butter,1
cool,1
level,1
teaspoons,1
mixture,1
balls,1
tray,2
chill,1
minutessift,1
cocoa,4
powder,1
medium,1
baking,1
onto,3
shallow,2
leaving,2
dip,1
truffles,1
time,1
lifting,1
out,1
fork,1
letting,1
excess,2
drip,1
off,2
immediately,1
turning,3
coat,1
let,3
stand,3
coating,1
shake,1
sieve,1
sifted,1
returned,1
whisk,1
together,3
vinegar,1
oregano,1
thyme,1
teaspoon,7
small,1
dissolved,1
cup,1
slow,1
stream,1
whisking,1
vinaigrette,3
combinedheat,1
tablespoon,2
wide,1
quart,1
moderate,2
hot,1
smoking,1
toast,1
couscous,7
pale,1
golden,1
toasts,1
broth,1
saffron,1
measure,1
bring,1
simmer,2
uncovered,2
covered,4
liquid,1
absorbed,1
dente,1
combine,1
room,2
temperatureprepare,1
grill,5
mediumhot,1
charcoal,1
gastoss,1
shrimp,6
thread,1
skewer,1
crowd,1
wont,1
evenlypeel,1
trim,1
root,1
ends,2
intact,1
halve,1
lengthwise,2
halves,1
inchwide,1
wedges,1
insert,1
wooden,1
pick,1
through,2
wedge,1
hold,1
layers,1
grilling,1
put,1
zucchini,1
toss,3
vegetables,4
peppergrill,1
skewers,2
lightly,2
oiled,2
rack,2
only,2
gas,2
once,2
tongs,1
total,1
discarding,1
clean,1
vinaigrettegrill,1
transferring,1
grilled,1
picks,1
drizzle,1
combinespoon,1
platter,1
sprinkle,1
temperature,1
